f_timestamp,f_id,cluster_data,heading,status
2025-03-14 11:56:45.033,1,"[[350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [351,675,145], [351,674,145], [350,674,145], [350,675,145], [350,675,145], [351,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [351,675,145], [350,675,145], [350,675,145], [350,675,145], [351,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [350,675,145], [351,674,145], [350,675,145], [351,675,145], [350,674,145], [350,675,145], [351,675,145], [351,675,145], [351,675,145], [351,675,145], [351,675,145], [351,675,145], [351,675,145], [351,675,145], [351,675,145], [351,675,145], [351,675,145], [351,675,145], [351,675,145], [351,675,145], [351,675,145], [351,675,145], [351,675,145], [351,675,145], [351,675,145], [351,675,145], [351,674,145], [350,675,145], [351,675,145], [351,675,145], [351,676,145], [351,677,145], [351,678,145], [351,679,145], [351,680,145], [351,682,145], [352,683,145], [352,683,145], [352,685,145], [352,686,145], [352,687,145], [353,688,145], [352,673,50], [352,676,50], [352,679,50], [351,680,50], [350,683,50], [351,688,50], [353,689,140], [351,682,140], [350,686,151], [351,686,151], [353,686,151], [353,684,151], [354,685,151], [354,685,151], [354,683,151], [356,683,151], [357,683,151], [353,690,140], [356,684,140], [353,674,140], [350,674,140], [350,681,151], [351,681,151], [354,683,151], [356,684,151], [357,684,151], [359,684,151], ]",272,"DRIVING"
2025-03-14 11:56:45.034,2,"[[357,612,50], [357,611,50], [357,611,50], [357,612,50], [357,612,50], [357,612,50], [357,612,50], [357,612,50], [357,612,50], [357,612,50], [357,612,50], [357,612,50], [357,612,50], [357,612,50], [357,612,50], [357,611,50], [357,612,50], [357,611,50], [357,612,50], [357,612,50], [357,612,50], [358,612,50], [357,612,50], [357,611,50], [357,612,50], [357,611,50], [357,611,50], [357,611,50], [357,611,50], [357,612,50], [357,611,50], [357,612,50], [357,611,50], [357,611,50], [357,612,50], [357,612,50], [357,612,50], [357,612,50], [357,612,50], [358,612,50], [358,611,50], [358,611,50], [358,611,50], [358,611,50], [358,611,50], [358,611,50], [358,612,50], [358,612,50], [358,612,50], [358,612,50], [358,612,50], [358,612,50], [358,612,50], [358,612,50], [358,612,50], [358,612,50], [357,612,50], [357,612,50], [357,612,50], [357,612,50], [357,611,50], [357,611,50], [357,611,50], [357,612,50], [357,611,50], [357,611,50], [357,611,50], [357,611,50], [357,611,50], [357,611,50], [357,611,50], [357,612,50], [357,611,50], [357,611,50], [357,611,50], [357,611,50], [358,611,50], [358,611,50], [357,611,50], [357,611,50], [357,611,50], [357,611,50], [358,611,50], [357,611,50], [357,611,50], [357,611,50], [357,611,50], [357,611,50], [357,611,50], [357,611,50], [357,611,50], [357,611,50], [357,611,50], [357,611,50], [357,611,50], [357,611,50], [357,611,50], [357,612,50], [358,611,50], [358,611,50], [358,611,50], [358,611,50], [358,612,50], [358,612,50], [358,612,50], [358,611,50], [358,611,50], [358,611,50], [358,611,50], [358,611,50], [357,611,50], [357,611,50], [357,612,50], [358,611,50], [357,612,50], [357,611,50], [357,611,50], [357,611,50], [357,612,50], [357,612,50], [357,612,50], [358,612,50], [357,612,50], [357,612,50], [357,612,50], [357,612,50], [358,612,50], [357,611,50], [357,611,50], [358,611,50], [357,611,50], [357,612,50], [357,612,50], [357,612,50], [357,612,50], [358,613,50], [358,612,50], [358,612,50], [357,611,50], [357,611,50], [357,611,50], [357,612,50], [357,612,50], [357,612,50], [357,612,50], [357,612,50], [357,612,50], [357,612,50], [357,612,50], [357,612,50], [357,612,50], [357,612,50], [357,612,50], [357,612,50], [357,613,50], [357,612,50], [358,613,50], [358,614,50], [355,612,139], [357,612,139], [358,612,139], [360,612,139], [362,612,139], [363,612,139], [364,612,139], [365,612,139], [365,613,139], [365,614,139], [366,614,139], [366,614,139], [367,614,139], [368,614,139], [368,614,139], [369,614,139], [370,615,139], [370,614,139], [371,615,139], [372,616,139], [373,616,139], [373,616,139], [374,617,139], [374,618,139], ]",289,"DRIVING"
2025-03-14 11:56:45.034,3,"[[366,479,151], [366,479,151], [366,479,151], [366,479,151], [366,479,151], [366,479,151], [366,479,151], [366,479,151], [366,479,151], [366,479,151], [366,479,151], [366,479,151], [366,479,151], [366,479,151], [366,479,151], [366,479,151], [366,479,151], [366,479,151], [366,479,151], [366,480,151], [366,480,151], [366,480,151], [366,480,151], [366,480,151], [366,480,151], [366,480,151], [366,480,151], [366,480,151], [366,480,151], [366,480,151], [366,480,151], [366,480,151], [366,480,151], [365,481,151], [365,481,151], [365,481,151], [365,480,151], [365,480,151], [365,481,151], [365,480,151], [365,480,151], [365,480,151], [365,480,151], [365,480,151], [365,480,151], [365,480,151], [365,480,151], [365,480,151], [365,480,151], [365,480,151], [365,480,151], [365,480,151], [365,480,151], [365,480,151], [365,480,151], [365,480,151], [365,480,151], [365,481,151], [365,480,151], [365,481,151], [365,481,151], [365,481,151], [365,480,151], [365,480,151], [365,481,151], [365,481,151], [365,481,151], [365,480,151], [365,480,151], [365,480,151], [365,481,151], [365,480,151], [365,480,151], [365,480,151], [365,480,151], [365,480,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,481,151], [365,478,151], [365,477,151], [365,477,151], [365,477,151], [365,477,151], [365,477,151], [365,477,151], [365,477,151], [365,477,151], [365,477,151], [365,477,151], [365,477,151], [365,477,151], [365,477,151], [365,477,151], [365,477,151], [365,477,151], [365,477,151], [365,476,151], [365,477,151], [365,477,151], [365,477,151], [365,477,151], [365,477,151], [365,476,151], [365,477,151], [365,476,151], [365,477,151], [365,477,151], [365,478,151], [364,478,151], [364,478,151], [364,478,151], [364,479,151], [364,480,151], ]",188,"DRIVING"
2025-03-14 11:56:45.035,4,"[[433,759,200], [433,759,200], [433,759,200], [433,760,200], [433,760,200], [433,760,200], [433,760,200], [433,760,200], [433,760,200], [433,760,200], [433,760,200], [433,760,200], [433,759,200], [433,760,200], [433,759,200], [433,760,200], [433,760,200], [433,760,200], [433,760,200], [433,760,200], [433,760,200], [433,760,200], [433,760,200], [433,760,200], [433,760,200], [433,760,200], [433,760,200], [433,760,200], [433,760,200], [433,760,200], [433,760,200], [433,760,200], [433,760,200], [433,760,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,757,200], [433,757,200], [433,757,200], [433,758,200], [433,757,200], [433,757,200], [433,757,200], [433,758,200], [433,757,200], [433,758,200], [433,757,200], [433,757,200], [433,757,200], [433,757,200], [433,757,200], [433,757,200], [433,757,200], [433,757,200], [433,757,200], [433,757,200], [433,757,200], [433,757,200], [433,757,200], [433,757,200], [433,757,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,759,200], [433,759,200], [433,759,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [433,758,200], [432,758,200], [433,758,200], [433,758,200], [433,758,200], [432,758,200], [433,758,200], [432,756,200], [432,755,200], [432,755,200], [432,756,200], [432,755,200], [433,756,200], [433,756,200], [433,755,200], [433,756,200], [433,756,200], [433,756,200], [433,756,200], [433,756,200], [433,755,200], [433,755,200], [433,755,200], [433,756,200], [433,755,200], [433,755,200], [433,755,200], [433,755,200], [433,755,200], [433,755,200], [433,756,200], [433,757,200], [432,759,200], [432,761,200], [432,763,200], [432,762,200], [432,763,200], [432,765,200], [431,766,200], [431,766,200], [431,767,200], [430,768,200], [430,769,200], [430,771,200], [429,772,200], [429,773,142], [432,756,142], [435,757,142], ]",247,"DRIVING"
2025-03-14 11:56:45.035,5,"[[432,657,142], [432,657,142], [432,657,142], [433,657,142], [433,657,142], [432,657,142], [433,657,142], [432,657,142], [432,657,142], [433,657,142], [432,657,142], [432,657,142], [432,657,142], [432,657,142], [432,657,142], [432,657,142], [432,657,142], [432,657,142], [432,657,142], [432,657,142], [432,657,142], [432,657,142], [432,657,142], [433,657,142], [432,657,142], [433,657,142], [433,657,142], [432,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [432,657,142], [432,657,142], [433,657,142], [432,657,142], [432,657,142], [432,657,142], [432,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [432,657,142], [432,657,142], [432,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [432,657,142], [432,657,142], [432,657,142], [432,657,142], [432,657,142], [432,657,142], [432,657,142], [432,657,142], [432,657,142], [433,657,142], [432,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,657,142], [433,658,142], [433,658,142], [432,658,142], [433,658,142], [433,659,142], [432,659,142], [432,660,142], [432,660,142], [431,661,142], [431,661,142], ]",188,"DRIVING"
2025-03-14 11:56:45.036,6,"[[422,418,140], [422,417,140], [422,417,140], [422,417,140], [422,418,140], [422,418,140], [422,416,140], [422,418,140], [422,418,140], [422,417,140], [422,418,140], [422,417,140], [422,418,140], [422,417,140], [422,417,140], [422,417,140], [422,417,140], [422,417,140], [422,418,140], [422,417,140], [422,417,140], [422,417,140], [422,417,140], [422,417,140], [422,417,140], [422,418,140], [422,417,140], [422,417,140], [422,417,140], [422,417,140], [422,417,140], [422,417,140], [421,419,140], [421,420,140], [421,420,140], [421,420,140], [421,420,140], [421,420,140], [421,420,140], [421,420,140], [421,420,140], [421,421,140], [421,420,140], [421,420,140], [421,420,140], [421,421,140], [421,420,140], [421,421,140], [421,420,140], [421,421,140], [421,420,140], [421,421,140], [421,421,140], [421,421,140], [421,421,140], [421,421,140], [421,420,140], [421,420,140], [421,421,140], [421,420,140], [421,420,140], [421,420,140], [421,421,140], [421,420,140], [421,421,140], [421,421,140], [421,420,140], [421,420,140], [421,420,140], [421,420,140], [421,421,140], [421,421,140], [421,421,140], [421,420,140], [421,421,140], [421,420,140], [421,421,140], [421,421,140], [421,421,140], [421,421,140], [421,420,140], [421,420,140], [421,421,140], [421,420,140], [421,421,140], [421,420,140], [421,420,140], [421,421,140], [421,421,140], [421,420,140], [421,421,140], [421,420,140], [421,421,140], [421,420,140], [421,421,140], [421,420,140], [421,421,140], [421,420,140], [421,421,140], [421,421,140], [421,421,140], [421,421,140], [421,421,140], [421,421,140], [421,421,140], [421,420,140], [421,420,140], [421,421,140], [421,420,140], [421,421,140], [421,420,140], [421,420,140], [421,421,140], [421,420,140], [421,420,140], [421,421,140], [422,420,140], [421,420,140], [421,421,140], [421,420,140], [421,421,140], [421,421,140], [421,420,140], [421,421,140], [421,420,140], [421,421,140], [421,420,140], [421,421,140], [421,420,140], [421,421,140], [421,421,140], [421,421,140], [421,421,140], [421,420,140], [421,421,140], [421,421,140], [421,421,140], [421,421,140], [421,421,140], [421,421,140], [421,420,140], [421,421,140], [421,421,140], [421,421,140], [421,420,140], [421,420,140], [421,420,140], [421,421,140], [421,420,140], [421,421,140], [421,420,140], [421,420,140], [421,420,140], [421,421,140], [421,420,140], [421,420,140], [421,420,140], [421,420,140], [421,420,140], [421,420,140], [421,419,140], [421,420,140], [421,421,140], [421,420,140], [421,421,140], [421,421,140], [421,422,140], [422,423,140], [422,423,140], ]",188,"DRIVING"
2025-03-14 11:56:45.036,7,"[[405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,763,52], [405,762,52], [405,762,52], [405,763,52], [405,763,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,763,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,763,52], [405,763,52], [405,763,52], [405,762,52], [405,762,52], [405,763,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,762,52], [405,763,52], [405,763,52], [405,764,52], [405,764,52], [405,764,52], [405,765,52], [405,766,52], [405,766,52], [405,767,52], [405,768,52], [405,768,52], [405,768,52], [405,769,52], [405,770,52], [405,770,52], [405,771,52], [404,771,52], [404,772,52], [404,774,52], [404,775,52], [404,776,52], [405,777,52], [405,777,52], [405,778,52], [403,762,141], [407,766,141], ]",226,"DRIVING"
2025-03-14 11:56:45.036,8,"[[354,559,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [354,558,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [355,559,141], [355,559,141], [355,559,141], [355,559,141], [354,559,141], [354,559,141], [355,559,141], [354,559,141], [354,559,141], [354,559,141], [355,559,141], [354,559,141], [354,559,141], [354,559,141], [355,559,141], [354,559,141], [355,559,141], [354,559,141], [355,559,141], [355,559,141], [354,559,141], [355,559,141], [355,559,141], [355,559,141], [354,559,141], [354,559,141], [355,559,141], [354,559,141], [355,559,141], [354,559,141], [355,559,141], [354,559,141], [354,559,141], [355,559,141], [354,559,141], [355,559,141], [355,559,141], [355,559,141], [355,559,141], [355,559,141], [355,559,141], [355,559,141], [354,559,141], [355,558,141], [355,559,141], [355,559,141], [354,559,141], [355,558,141], [355,559,141], [355,559,141], [355,559,141], [355,559,141], [355,559,141], [355,559,141], [354,559,141], [355,559,141], [355,559,141], [354,559,141], [354,559,141], [355,558,141], [355,559,141], [355,559,141], [355,559,141], [355,559,141], [354,559,141], [355,559,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [355,559,141], [355,559,141], [355,559,141], [355,559,141], [355,559,141], [355,559,141], [355,559,141], [355,559,141], [355,559,141], [355,559,141], [354,559,141], [355,559,141], [355,559,141], [354,559,141], [355,559,141], [355,559,141], [355,559,141], [354,559,141], [355,559,141], [355,559,141], [355,559,141], [355,559,141], [355,559,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [354,559,141], [354,558,141], [354,558,141], [354,558,141], [354,558,141], [354,558,141], [354,558,141], [354,558,141], [354,558,141], [354,558,141], [354,558,141], [354,558,141], [354,558,141], [354,558,141], [354,558,141], [354,558,141], [354,558,141], [354,558,141], [354,558,141], [354,558,141], [354,558,141], [354,558,141], [354,558,141], [354,558,141], [354,558,141], [354,558,141], [354,558,141], [354,558,141], [354,558,141], [354,559,141], [355,560,141], [355,560,141], [355,560,141], [356,560,141], [355,561,141], [355,561,141], [355,563,141], [356,557,151], [356,563,151], ]",237,"DRIVING"
2025-03-14 11:56:45.037,9,"[[379,444,139], [379,445,139], [379,445,139], [379,445,139], [379,445,139], [379,445,139], [379,445,139], [379,445,139], [379,445,139], [379,445,139], [379,444,139], [379,444,139], [379,444,139], [379,444,139], [379,444,139], [379,444,139], [379,444,139], [379,444,139], [379,444,139], [379,444,139], [379,444,139], [379,444,139], [379,444,139], [379,444,139], [379,444,139], [379,444,139], [379,444,139], [379,444,139], [379,444,139], [379,444,139], [379,444,139], [379,444,139], [379,444,139], [379,444,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,446,139], [378,446,139], [378,446,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,446,139], [378,445,139], [378,445,139], [378,445,139], [378,446,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,445,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,447,139], [377,447,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,445,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,446,139], [378,445,139], [378,444,139], [378,444,139], [378,444,139], [378,444,139], [378,444,139], [378,444,139], [378,444,139], [378,444,139], [378,444,139], [378,444,139], [378,444,139], [378,444,139], [378,444,139], [378,444,139], [378,444,139], [378,444,139], [378,444,139], [378,444,139], [378,444,139], [378,444,139], [378,445,139], [379,446,139], [378,448,139], [379,449,139], [379,450,139], [378,451,139], [378,453,139], ]",188,"DRIVING"
2025-03-14 11:56:51.316,10,"[[357,616,50], [357,616,50], [358,617,50], [358,619,50], [358,620,50], [358,621,50], [358,622,50], [357,623,50], [357,624,50], [356,619,139], [358,620,139], [360,620,139], ]",267,"DRIVING"
